Survived,Pclass,Embarked
0,2,S
0,3,S
0,1,C
0,3,S
0,2,S
1,1,S
1,3,S
0,3,C
0,3,S
0,2,S
1,2,S
1,1,S
1,3,C
1,3,S
0,3,S
0,1,S
0,3,S
0,2,S
1,1,S
0,3,S
0,3,S
0,2,S
0,3,S
0,3,S
0,1,S
0,3,S
0,2,C
0,3,S
0,3,S
1,1,S
1,3,S
0,1,S
1,3,S
0,3,S
0,3,Q
0,3,S
1,2,C
1,3,Q
1,3,C
1,2,S
0,3,C
0,3,S
0,3,S
1,1,C
0,3,S
0,3,S
1,3,S
1,1,C
0,3,S
0,2,S
1,1,C
0,3,C
0,3,S
0,3,S
0,3,S
0,3,C
0,2,S
1,1,C
0,3,S
0,3,S
0,3,C
1,1,S
0,2,S
1,3,S
1,1,S
1,1,S
1,3,C
0,3,C
0,3,S
0,2,S
1,1,S
0,3,S
0,2,S
1,2,S
1,2,C
0,1,S
0,3,S
1,3,S
0,3,S
1,1,S
0,1,S
0,3,S
1,2,C
1,3,C
0,3,S
0,3,S
0,3,S
1,1,C
1,2,S
0,3,S
0,3,S
0,2,S
0,3,S
0,3,Q
0,2,S
1,1,S
0,3,S
1,1,C
0,3,Q
